"","species","genus","family","other","ncbi","custom","rank"
"397",NA,NA,"Perlodidae",NA,1,NA,"family"
"398","Ornithodoros tholozani","Ornithodoros","Argasidae",NA,1,NA,"species"
"399","Ornithodoros hermsi","Ornithodoros","Argasidae",NA,1,NA,"species"
"400","Neohydatothrips samayunkur","Neohydatothrips","Thripidae",NA,1,NA,"species"
"401","Rhaetus westwoodii","Rhaetus","Lucanidae",NA,1,NA,"species"
"402","Libellula angelina","Libellula","Libellulidae",NA,1,NA,"species"
"403","Arachnoides sp. NO1","Arachnoides","Clypeasteridae",NA,2,NA,"species"
"404","Clypeaster rarispinus","Clypeaster","Clypeasteridae",NA,1,NA,"species"
"405","Mycopsylla fici","Mycopsylla","Homotomidae",NA,1,NA,"species"
"406","Mycopsylla proxima","Mycopsylla","Homotomidae",NA,1,NA,"species"
"407","Altiverruca navicula","Altiverruca","Verrucidae",NA,1,NA,"species"
"408","Glomeridesmus spelaeus","Glomeridesmus","Glomeridesmidae",NA,1,NA,"species"
"409","Diaphanosoma dubium","Diaphanosoma","Sididae",NA,1,NA,"species"
"410","Pectinatella magnifica","Pectinatella","Pectinatellidae",NA,1,NA,"species"
"411","Cardiodactylus muiri","Cardiodactylus","Gryllidae",NA,1,NA,"species"
"412","Kikihia muta","Kikihia","Cicadidae",NA,1,NA,"species"
"413","Kikihia ochrina","Kikihia","Cicadidae",NA,1,NA,"species"
"414","Archimandrita tessellata","Archimandrita","Blaberidae",NA,1,NA,"species"
"415",NA,"Blaberus","Blaberidae",NA,1,NA,"genus"
"416","Blaberus sp. B007","Blaberus","Blaberidae",NA,1,NA,"species"
"417",NA,"Byrsotria","Blaberidae",NA,1,NA,"genus"
"418","Elliptorhina davidi","Elliptorhina","Blaberidae",NA,1,NA,"species"
"419","Elliptorhina javanica","Elliptorhina","Blaberidae",NA,1,NA,"species"
"420","Eublaberus distanti","Eublaberus","Blaberidae",NA,1,NA,"species"
"421","Gromphadorhina oblongonota","Gromphadorhina","Blaberidae",NA,1,NA,"species"
"422","Rhyparobia sp. B054","Rhyparobia","Blaberidae",NA,1,NA,"species"
